image_id,split,category
0,val,form
1,val,form
2,val,form
3,val,announcement
4,val,form
5,val,form
6,val,form
7,val,form
8,val,form
9,val,announcement
10,train,announcement
11,train,form
12,train,form
13,train,form
14,train,form
15,train,form
16,train,announcement
17,train,form
18,train,form
19,train,form
20,train,form
21,train,form
22,train,form
23,train,form
24,train,form
25,train,form
26,train,form
27,train,form
28,train,form
29,train,form
30,train,form
31,train,form
32,train,form
33,train,form
34,train,announcement
35,train,form
36,train,form
37,train,announcement
38,train,announcement
39,train,announcement
40,train,form
41,train,form
42,train,form
43,train,announcement
44,train,announcement
45,train,form
46,train,form
47,train,form
48,train,form
49,train,form
50,train,form
51,train,form
52,train,form
53,train,form
54,train,form
55,train,form
56,train,form
57,train,form
58,train,form
59,train,announcement
60,train,form
61,train,form
62,train,announcement
63,train,form
64,train,form
65,train,announcement
66,train,form
67,train,form
68,train,form
69,train,announcement
70,train,form
71,train,announcement
72,train,form
73,train,announcement
74,train,form
75,train,announcement
76,train,form
77,train,form
78,train,announcement
79,train,form
80,train,form
81,train,form
82,train,form
83,train,form
84,train,announcement
85,train,announcement
86,train,form
87,train,form
88,train,form
89,train,form
90,train,form
91,train,form
92,train,form
93,train,form
94,train,announcement
95,train,form
96,train,form
97,train,form
98,train,announcement
99,train,form
